Question,Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Correct Answer
What is Fang Yuan's primary goal in Reverend Insanity?,Achieving eternal life,Gaining ultimate power,Seeking revenge,Protecting his loved ones,Achieving eternal life
How long did Fang Yuan live his first life in the Gu World?,500 years,100 years,300 years,700 years,500 years
What is the name of Fang Yuan's main cultivation path in his previous life?,Blood Path,Time Path,Transformation Path,Sword Path,Blood Path
Which region did Fang Yuan start his cultivation journey in?,Southern Border,Northern Plains,Eastern Sea,Central Continent,Southern Border
What is the name of Fang Yuan's time-traveling Gu?,Spring Autumn Cicada,Eternal Moon Mirror,Timeless Hourglass,Past and Future Butterfly,Spring Autumn Cicada
What was Fang Yuan's initial cultivation aptitude graded as in his clan?,C grade,A grade,B grade,D grade,C grade
Which immortal Gu did Fang Yuan successfully refine after facing numerous enemies?,Spring Autumn Cicada Immortal Gu,Blood Sword Immortal Gu,Heaven Piercing Horn Immortal Gu,Thunderclap Shield Immortal Gu,Spring Autumn Cicada Immortal Gu
How many times has Fang Yuan experienced rebirth in the story?,5 times,2 times,3 times,4 times,5 times
What is the name of Fang Yuan's demonic sect?,Blood Wing Demon Sect,Shadow Sect,Demonic Path Alliance,Dream Realm Cult,Blood Wing Demon Sect
Which region has the most abundant resources in the Gu World?,Eastern Sea,Southern Border,Northern Plains,Central Continent,Eastern Sea
What is the main personality trait of Fang Yuan's character?,Ruthlessness,Compassion,Fearlessness,Loyalty,Ruthlessness
How does Fang Yuan view alliances and enemies?,"Permanent benefits, temporary associations","Permanent enemies, temporary allies","Permanent allies, temporary enemies","Permanent benefits, temporary sacrifices","Permanent benefits, temporary associations"
Which path did Fang Yuan focus on after acquiring his second aperture?,Strength Path,Time Path,Transformation Path,Enslavement Path,Strength Path
What is the distinguishing feature of Fang Yuan's eyes?,Jet black color,Glowing red color,Piercing blue color,Golden hue,Jet black color
What is the name of Fang Yuan's younger twin brother?,Fang Zheng,Fang Wei,Fang Xuan,Fang Lei,Fang Zheng
How does Fang Yuan typically treat strangers he encounters?,Polite and friendly,Rude and dismissive,Indifferent and aloof,Suspicious and cautious,Polite and friendly
What is the name of the immortal Gu that Fang Yuan obtained in the battle of Yi Tian Mountain?,Immortal Fetus Gu,Reverse Flow River Gu,Perseverance Gu,Airsac Gu,Immortal Fetus Gu
What is the title of the first volume in Reverend Insanity?,A Demon's Nature Doesn't Change,The Demon Leaves the Mountain,The Demon Wreaks Chaos in the World,Demon King's Domination,A Demon's Nature Doesn't Change
What is the name of Fang Yuan's main love interest in the story?,Bai Ning Bing,Shang Xin Ci,Zhao Lian Yun,Feng Jin Huang,Bai Ning Bing
Who is Fang Yuan's primary antagonist throughout the story?,Heaven's Will,Duke Long,Feng Jiu Ge,Spectral Soul Demon Venerable,Heaven's Will
What was the first Gu that Fang Yuan chose from the Gu Yue treasury?,Moonlight Gu,Liquor Worm,Spring Autumn Cicada,Mudskin Toad,Moonlight Gu
Which Gu did Fang Yuan actively search for with his previous life's knowledge?,Liquor Worm,Spring Autumn Cicada,Mudskin Toad,Little Light Gu,Liquor Worm
"In which path does the Gu ""Spring Autumn Cicada"" belong?",Time Path,Food Path,Light Path,Wood Path,Time Path
"How did Fang Yuan acquire the Gu ""Mudskin Toad""?",Rock gambling,Bought it,Found in a cave,Traded with Jia Jin Sheng,Rock gambling
Which Gu did Fang Yuan choose for his development path?,Little Light Gu,Stealth Scales Gu,Earth Communication Ear Grass,Plunder Gu,Little Light Gu
Which Gu did Fang Yuan use to communicate with Li Ran?,Heart Sound Gu,Vertical Crash Gu,Horizontal Charge Gu,Steel Tendon Gu,Heart Sound Gu
What was the first Immortal Gu obtained by Fang Yuan in this life?,Turn Gold Gu,Guts Gu,Estrus Gu,Spring Egg Gu,Turn Gold Gu
Which Gu did Fang Yuan use to control foxes in Hu Immortal Blessed Land?,Burial Soul Toad,Bright Pearl Gu,Grass Puppet Gu,Battle Bone Wheel,Burial Soul Toad
"Which Gu did Fang Yuan use to activate the killer move ""Six Arm Heavenly Zombie King""?",Blood Wight Gu,Nightmare Zombie Gu,Plague Zombie Gu,Sole Blade Gu,Blood Wight Gu
"How did Fang Yuan obtain the Gu ""Starlight Firefly Gu""?",Bought it,Traded with Hei Lou Lan,Found it in Treasure Yellow Heaven,Exchanged a Swamp Crab's corpse,Exchanged a Swamp Crab's corpse
"What is the path of the Gu ""Double Orifice Stove Gu""?",Fire Path,Earth Path,Water Path,Wind Path,Fire Path
Which secluded domain did Fang Yuan acquire along with Hu Immortal Blessed Land?,Dang Hun Mountain,Luo Po Valley,Chang Shan Yin's Tomb,Xiao Mang Mountain,Dang Hun Mountain
Which Gu did Fang Yuan use to knock Feng Jin Huang down in the contest of Refinement Path Convention?,Pulling Mountain,Reveal Light Gu,Close Door Gu,Thread Trace Gu,Pulling Mountain
"How did Fang Yuan obtain the Gu ""Self Strength Gu""?",Transaction with Ying Wu Xie,Traded with Feng Jin Huang,Found in a cave,Refined it himself,Transaction with Ying Wu Xie
Which Gu did Fang Yuan obtain by scamming Wu Clan?,Reputation Restriction Immortal Gu,Dragon Strength Immortal Gu,Pulling Water Immortal Gu,Self Will Gu,Reputation Restriction Immortal Gu
Which Gu did Fang Yuan refine after joining Wu Clan?,Spring Immortal Gu,Ghost Fire Gu,Star Eyes Gu,Calamity Beckoning Gu,Spring Immortal Gu
"How did Fang Yuan obtain the Gu ""Wisdom Gu""?",Bought it from Treasure Yellow Heaven,Transferred from Hu Immortal Blessed Land,Traded with Wu Clan,Refined it himself,Transferred from Hu Immortal Blessed Land
Which Gu did Fang Yuan obtain by stealing from Yang Sun Mu?,Edge Immortal Gu,Contact Heart Gu,Dragon Scales Immortal Gu,Spring Immortal Gu,Edge Immortal Gu
"How did Fang Yuan obtain a large number of the Gu ""Day Gu""?",Bought them from Treasure Yellow Heaven,Traded with Wu Clan,Found in a secluded domain,Stole them from Chi Clan,Bought them from Treasure Yellow Heaven
Which secluded domain did Fang Yuan acquire after inheriting Thieving Heaven Demon Venerable's true inheritance?,Dang Hun Mountain,Luo Po Valley,Chang Shan Yin's Tomb,Xiao Mang Mountain,Luo Po Valley
What is the stage of Fang Yuan's cultivation when he first becomes a Gu Master?,Initial,Middle,Upper,Peak,Initial
How did Fang Yuan advance to the Rank 2 Gu Master stage?,Using primeval stones,Nurturing aperture walls,Using Red Steel Relic Gu,All of the above,All of the above
Which Gu did Fang Yuan refine to advance to the next level during his cultivation reset?,Blood Skull Gu,Stone Aperture Gu,Green Copper Relic Gu,None of the above,Blood Skull Gu
How did Fang Yuan advance to the Rank 3 Gu Master stage?,Using primeval stones,Nurturing water membrane aperture walls,Using Stone Aperture Gu,All of the above,All of the above
